76.199997,76,76.599998,76.800003,77,79
76.199997,76.199997,76.599998,76.800003,77.400002,79.199997
76,76.199997,76.599998,76.800003,77.599998,80.199997
76,76,76.800003,77,77.800003,81
76.199997,76,77,77.400002,78.199997,81.599998
76.400002,76.199997,76.800003,77.800003,78.599998,83
76.400002,76,77,78.199997,79,84.199997
76.400002,76,77.400002,78.400002,79.199997,85.400002
76.400002,76,77.400002,78.599998,79.599998,87.199997
76.599998,76,77.599998,79,80.199997,89
76.599998,76.199997,78.199997,79.599998,80.800003,90.400002
76.599998,76.400002,78.400002,80,81.599998,92.599998
76.599998,76.599998,78.599998,80.599998,82.199997,95.199997
76.599998,76.400002,79.199997,81.400002,82.800003,97.400002
76.599998,76.599998,79.800003,82,83.800003,99.800003
76.800003,76.599998,80,82.800003,85,101.6
77,76.599998,80.800003,83.800003,86.400002,103.2
77.199997,76.800003,81.400002,84.800003,88,106
77.199997,77,82,85.800003,89.199997,107.6
77.400002,77.199997,82.800003,86.800003,90.599998,110.2
77.800003,77.199997,83.800003,88,92.800003,112.4
78.199997,77.400002,84.599998,89.400002,94,113.8
78.400002,77.599998,85.400002,90.800003,95.400002,115.4
78.400002,77.800003,86.599998,92,97.199997,118.2
78.599998,78.199997,87.599998,93.400002,99,119.8
79,78.400002,88.800003,94.800003,100.6,121.8
79.400002,78.800003,90.199997,96.199997,102.2,123.4
80,79,91.400002,98,104,125.4
80.800003,79.400002,92.599998,99.599998,105.6,127
81.400002,80,94.599998,101.4,107.2,128.2
82,80.800003,96.599998,102.8,108.8,130
82.599998,81.400002,98,104.2,110.6,131.60001
83.400002,81.800003,99.800003,105.8,112.4,132.8
84.199997,82.400002,102.4,107.6,114,133.60001
85.199997,83.400002,104.2,109.2,115.4,134.39999
86.199997,84.400002,106.6,110.8,117,136
87.400002,85.400002,108.4,112.4,118.4,136.8
89,86.199997,110,114.2,119.8,137
89.800003,87.199997,111.8,116.4,121.2,138
90.800003,88.400002,113.4,118.2,122.8,138.8
92,89.400002,115,119.4,124.2,139.2
93.400002,90.599998,116.6,120.8,125.4,139.8
94.800003,91.800003,117.8,122.4,126.6,140.39999
96.400002,93,119.2,123.8,127.8,140.8
97.800003,94.599998,120.4,125.2,129.39999,141.2
99.199997,96,121.8,126.2,130.2,141.39999
100.6,97.400002,123,127.4,131.2,141.60001
102.2,98.800003,124.2,129,132.39999,142.2
105,100.4,125.4,130.2,133.2,142.60001
105.8,102,126.2,131.2,134,142.8
107.2,103.6,127.2,132.2,134.8,143
109.2,105.8,128.60001,133,135.60001,143.39999
111.2,107,129.60001,134,136.2,143.60001
112.6,108.4,130.39999,135,137,143.60001
114,110.2,131.2,135.60001,137.8,143.8
115.2,112.6,132.39999,137,138.39999,144.2
116.8,114,133.2,137.39999,139,144.2
118,115.2,133.8,138.60001,139.60001,144.39999
119.2,116.8,134.60001,139.39999,140.2,144.60001
120.4,118,135,139.60001,140.60001,145
121.4,119.2,135.39999,140,140.8,145.2
122.8,120.8,135.8,140.39999,141.2,145.39999
123.8,122.2,136.2,140.39999,141.60001,145.39999
125,123.4,136.60001,140.60001,142,145.2
125.8,124.2,137.2,141,142,145.2
126.6,125.4,137.39999,141.2,142.2,145.39999
127.6,126.6,137.8,141.39999,142.39999,145.8
128.60001,127.4,138.2,141.39999,142.60001,145.8
