0.21777907170307506 - 0.0im,-0.207434464990386 - 0.0im,-0.01881680804836199 - 0.0im,0.22251958325693466 - 0.0im,-0.1917653116784256 + 0.0im,0.03623747026690992 - 0.0im,0.21855819071506358 + 0.0im,-0.16774783713950245 - 0.0im,0.048175704946046095 - 0.0im
0.20807475722701488 - 0.0im,-0.22550928783740287 - 0.0im,0.03752319158746601 - 0.0im,0.18205156533945718 + 0.0im,-0.232506009754607 + 0.0im,-0.07162556494033574 - 0.0im,0.14775271475479057 + 0.0im,-0.22321389439519354 - 0.0im,-0.09381692690655263 + 0.0im
0.1971493773263312 - 0.0im,-0.2382983641165423 - 0.0im,0.09188912792706465 - 0.0im,0.1246150278604716 + 0.0im,-0.2395344762163153 + 0.0im,-0.16461419886619735 - 0.0im,0.03544929519124081 + 0.0im,-0.19739855876648169 - 0.0im,-0.1929331929327875 + 0.0im
0.18506704649755762 - 0.0im,-0.24550192870958729 - 0.0im,0.14142085515216232 - 0.0im,0.05556347057649707 + 0.0im,-0.21183161787739238 + 0.0im,-0.2234175854781351 - 0.0im,-0.08681044129742342 + 0.0im,-0.09970225958890319 - 0.0im,-0.20387481465519008 + 0.0im
0.17189866863469516 - 0.0im,-0.2469511361675084 - 0.0im,0.1835125510695032 - 0.0im,-0.01866700310585903 + 0.0im,-0.15341421337507197 + 0.0im,-0.2358240909816024 - 0.0im,-0.18468852899378838 + 0.0im,0.03429974786295103 - 0.0im,-0.12164123414791846 + 0.0im
0.15772152104414577 - 0.0im,-0.24261201831295134 - 0.0im,0.21594980725394983 - 0.0im,-0.09115757739788337 + 0.0im,-0.0727525000176262 + 0.0im,-0.19925727020257522 + 0.0im,-0.23069485126937073 + 0.0im,0.1558118012790774 - 0.0im,0.016185022721497078 + 0.0im
0.1426188008501386 - 0.0im,-0.23258628036361498 - 0.0im,0.23702612714187288 - 0.0im,-0.1551516076837585 + 0.0im,0.01845796920470485 - 0.0im,-0.1213109140723147 + 0.0im,-0.2119080362916149 - 0.0im,0.22058634617195363 - 0.0im,0.1466143739502895 - 0.0im
0.12667913682307677 - 0.0im,-0.21710891713541255 - 0.0im,0.24563270343856244 - 0.0im,-0.20468438859141136 + 0.0im,0.10699212338174077 - 0.0im,-0.018172055553433226 + 0.0im,-0.13360456367535256 - 0.0im,0.20503629696804918 - 0.0im,0.21003778350726823 - 0.0im
0.10999606925644476 - 0.0im,-0.1965427049076074 - 0.0im,0.24131675142575168 - 0.0im,-0.2351391074942636 - 0.0im,0.18001294415883032 - 0.0im,0.08874057349629755 + 0.0im,-0.01777680827817712 - 0.0im,0.11482406843848167 - 0.0im,0.17746938070226023 - 0.0im
0.09266750101099235 - 0.0im,-0.1713696982595703 - 0.0im,0.2243053297092661 - 0.0im,-0.24367716484019708 + 0.0im,0.22693277049085842 - 0.0im,0.17722454650698316 + 0.0im,0.10304375545236416 - 0.0im,-0.01720034316002655 + 0.0im,0.06379363041080538 - 0.0im
0.07479512301748992 - 0.0im,-0.1421799311318886 - 0.0im,0.19549339474422464 - 0.0im,-0.22950275208088308 + 0.0im,0.24094845758151168 - 0.0im,0.22890449535340418 + 0.0im,0.19492336903693544 + 0.0im,-0.1429613998074071 + 0.0im,-0.07903718948265617 + 0.0im
0.0564838175046951 - 0.0im,-0.1096575869192465 - 0.0im,0.15639671802151578 - 0.0im,-0.19393702675469712 + 0.0im,0.2200277994878866 - 0.0im,0.23304810263049197 + 0.0im,0.2320566519761969 + 0.0im,-0.21666430956968902 + 0.0im,-0.18574630340425008 + 0.0im
0.037841042490363984 - 0.0im,-0.07456496180604222 - 0.0im,0.10907214254660604 - 0.0im,-0.14029497110713404 + 0.0im,0.16720418909630935 - 0.0im,0.18879487003186882 + 0.0im,0.2040143212492076 + 0.0im,-0.21147080063311735 + 0.0im,-0.20756533704058738 + 0.0im
0.01897620119640925 - 0.0im,-0.037724597193277164 - 0.0im,0.056009374123195385 - 0.0im,-0.07357641180503889 + 0.0im,0.09013679095798564 - 0.0im,0.1053348170830345 + 0.0im,0.11867236788485871 + 0.0im,-0.129272044002701 + 0.0im,-0.1345225198666418 + 0.0im
0.0 - 0.00861701162218146im,0.0 - 0.017437614380439094im,-0.0 - 0.026669193816919096im,-0.0 - 0.03652923734308599im,-0.0 - 0.047258268088925325im,-0.0 + 0.059148867633465774im,-0.0 - 0.0726191125188193im,-0.0 - 0.08844802743119573im,0.0 + 0.10912969227958044im
0.0 - 0.017183455184534988im,0.0 - 0.03446650585488516im,-0.0 - 0.05193534396642666im,-0.0 - 0.06965368618821584im,-0.0 - 0.08766431897452981im,-0.0 + 0.10601435582065726im,-0.0 - 0.12484236400745076im,-0.0 - 0.1446884770799604im,-0.0 + 0.1683847535807669im
0.0 - 0.025649059410746532im,0.0 - 0.05068753163641391im,-0.0 - 0.07446921968607223im,-0.0 - 0.09628590886085009im,-0.0 - 0.11535947335532487im,-0.0 + 0.13086396081668525im,-0.0 - 0.14200229101203513im,-0.0 - 0.14824187970060762im,-0.0 + 0.15068433859449956im
0.0 - 0.03396414474248814im,0.0 - 0.06572048465327295im,-0.0 - 0.09308533290023838im,-0.0 - 0.11394359002889298im,-0.0 - 0.1263280696124724im,-0.0 + 0.12853719284786239im,0.0 - 0.11927934295472195im,-0.0 - 0.09781429472352265im,0.0 + 0.06411791999727502im
0.0 - 0.042079914982596014im,0.0 - 0.07921300520240837im,-0.0 - 0.10680430565582244im,-0.0 - 0.12098090641079036im,0.0 - 0.11897971507237719im,-0.0 + 0.09951724921363425im,0.0 - 0.06305550487437409im,0.0 - 0.011768487415506894im,0.0 - 0.05175177556013528im
0.0 - 0.04994874353904692im,0.0 - 0.09084884005153478im,-0.0 - 0.11490439444477785im,0.0 - 0.11674192933676185im,0.0 - 0.09437988509585439im,-0.0 + 0.04983066929788958im,0.0 + 0.010878151875754416im,0.0 + 0.07856271194319346im,0.0 - 0.14396978976659028im
0.0 - 0.05752445301238459im,-0.0 - 0.10035525508691241im,0.0 - 0.1169594604349174im,0.0 - 0.10162176204171804im,0.0 - 0.05609543446378597im,0.0 - 0.010204190205269135im,0.0 + 0.08175656233525598im,0.0 + 0.1402859849372283im,0.0 - 0.17039049449851923im
