 (0.092668+0.000000j), (-0.172712+0.000000j), (0.229187+0.000000j), (-0.254249+0.000000j), (0.244104-0.000000j), (-0.199269+0.000000j), (0.123909+0.000000j), (0.023182+0.000000j), (0.113967-0.000000j)
 (0.074795+0.000000j), (-0.143294+0.000000j), (0.199748+0.000000j), (-0.239461+0.000000j), (0.259180-0.000000j), (-0.257376+0.000000j), (0.234394+0.000000j), (0.192683+0.000000j), (-0.141200+0.000000j)
 (0.056483+0.000000j), (-0.110517+0.000000j), (0.159801+0.000000j), (-0.202352+0.000000j), (0.236676-0.000000j), (-0.262036+0.000000j), (0.279047+0.000000j), (0.292020+0.000000j), (-0.331837+0.000000j)
 (0.037841+0.000000j), (-0.075149+0.000000j), (0.111446+0.000000j), (-0.146383+0.000000j), (0.179855-0.000000j), (-0.212278+0.000000j), (0.245326+0.000000j), (0.285020+0.000000j), (-0.370817+0.000000j)
 (0.018976+0.000000j), (-0.038020+0.000000j), (0.057229+0.000000j), (-0.076768+0.000000j), (0.096957-0.000000j), (-0.118437+0.000000j), (0.142703+0.000000j), (0.174232+0.000000j), (-0.240326+0.000000j)
 (-0.000000-0.008617j), (0.000000-0.017574j), (0.000000-0.027250j), (0.000000-0.038115j), (-0.000000-0.050834j), (0.000000-0.066506j), (0.000000-0.087324j), (0.000000+0.119210j), (0.000000+0.194960j)
 (-0.000000-0.017184j), (0.000000-0.034736j), (0.000000-0.053066j), (0.000000-0.072676j), (-0.000000-0.094297j), (0.000000-0.119201j), (0.000000-0.150122j), (0.000000+0.195011j), (0.000000+0.300821j)
 (-0.000000-0.025649j), (0.000000-0.051084j), (0.000000-0.076090j), (0.000000-0.100463j), (-0.000000-0.124088j), (0.000000-0.147142j), (0.000000-0.170757j), (0.000000+0.199799j), (0.000000+0.269200j)
 (-0.000000-0.033964j), (0.000000-0.066235j), (0.000000-0.095112j), (0.000000-0.118888j), (-0.000000-0.135886j), (0.000000-0.144525j), (-0.000000-0.143432j), (0.000000+0.131834j), (0.000000+0.114546j)
 (-0.000000-0.042080j), (0.000000-0.079833j), (0.000000-0.109129j), (-0.000000-0.126230j), (-0.000000-0.127982j), (0.000000-0.111895j), (-0.000000-0.075824j), (0.000000+0.015862j), (0.000000-0.092456j)
 (-0.000000-0.049949j), (-0.000000-0.091560j), (0.000000-0.117405j), (-0.000000-0.121808j), (0.000000-0.101521j), (0.000000-0.056029j), (0.000000+0.013081j), (0.000000-0.105887j), (-0.000000-0.257204j)
 (-0.000000-0.057525j), (-0.000000-0.101141j), (0.000000-0.119505j), (-0.000000-0.106031j), (0.000000-0.060339j), (0.000000+0.011474j), (0.000000+0.098311j), (0.000000-0.189076j), (-0.000000-0.304404j)
 (-0.000000-0.064762j), (-0.000000-0.108352j), (0.000000-0.115318j), (-0.000000-0.080372j), (0.000000-0.010410j), (0.000000+0.076593j), (0.000000+0.155931j), (0.000000-0.203416j), (-0.000000-0.212486j)
 (-0.000000-0.071621j), (-0.000000-0.113022j), (0.000000-0.105063j), (0.000000-0.047222j), (0.000000+0.041029j), (0.000000+0.125807j), (0.000000+0.169755j), (0.000000-0.143685j), (-0.000000-0.023456j)
 (-0.000000-0.078058j), (0.000000-0.115044j), (0.000000-0.089283j), (0.000000-0.009669j), (0.000000+0.086521j), (0.000000+0.148894j), (0.000000+0.135901j), (-0.000000-0.031630j), (0.000000+0.176292j)
 (-0.000000-0.084038j), (0.000000-0.114368j), (0.000000-0.068804j), (0.000000+0.028783j), (0.000000+0.119466j), (0.000000+0.141061j), (0.000000+0.063878j), (0.000000+0.091941j), (0.000000+0.295472j)
 (-0.000000-0.089524j), (0.000000-0.111013j), (-0.000000-0.044706j), (0.000000+0.064553j), (0.000000+0.135089j), (0.000000+0.103934j), (0.000000-0.026086j), (0.000000+0.182034j), (0.000000+0.279616j)
 (-0.000000-0.094486j), (0.000000-0.105054j), (-0.000000-0.018256j), (0.000000+0.094307j), (0.000000+0.131125j), (0.000000+0.045223j), (0.000000-0.108723j), (0.000000+0.205840j), (0.000000+0.135967j)
 (-0.000000-0.098893j), (0.000000-0.096635j), (0.000000+0.009154j), (0.000000+0.115270j), (0.000000+0.108148j), (-0.000000-0.022879j), (-0.000000-0.160824j), (0.000000+0.154692j), (-0.000000-0.069819j)
 (-0.000000-0.102719j), (0.000000-0.085950j), (0.000000+0.036084j), (0.000000+0.125490j), (0.000000+0.069491j), (-0.000000-0.086230j), (-0.000000-0.167757j), (0.000000+0.047213j), (-0.000000-0.243698j)
 (-0.000000-0.105943j), (0.000000-0.073249j), (0.000000+0.061115j), (0.000000+0.124012j), (0.000000+0.020758j), (-0.000000-0.131674j), (-0.000000-0.127573j), (0.000000-0.077457j), (-0.000000-0.306201j)
 (-0.000000-0.108543j), (0.000000-0.058833j), (0.000000+0.082930j), (0.000000+0.110977j), (0.000000-0.030985j), (0.000000-0.149774j), (-0.000000-0.051559j), (0.000000-0.173923j), (-0.000000-0.228762j)
 (-0.000000-0.110508j), (0.000000-0.043036j), (0.000000+0.100382j), (0.000000+0.087597j), (-0.000000-0.078236j), (0.000000-0.136769j), (0.000000+0.038936j), (0.000000-0.207055j), (-0.000000-0.046775j)
 (-0.000000-0.111825j), (-0.000000-0.026232j), (0.000000+0.112554j), (0.000000+0.056052j), (-0.000000-0.114142j), (0.000000-0.095363j), (0.000000+0.118495j), (-0.000000-0.164790j), (0.000000+0.156589j)
 (0.000000-0.112486j), (-0.000000-0.008813j), (0.000000+0.118803j), (0.000000+0.019284j), (-0.000000-0.133500j), (0.000000-0.034152j), (0.000000+0.164773j), (-0.000000-0.062519j), (0.000000+0.288390j)
 (0.000000-0.112486j), (0.000000+0.008813j), (0.000000+0.118803j), (-0.000000-0.019284j), (-0.000000-0.133500j), (0.000000+0.034152j), (0.000000+0.164773j), (0.000000+0.062519j), (0.000000+0.288390j)
 (0.000000-0.111825j), (0.000000+0.026232j), (0.000000+0.112554j), (-0.000000-0.056052j), (-0.000000-0.114142j), (0.000000+0.095363j), (0.000000+0.118495j), (0.000000+0.164790j), (0.000000+0.156589j)
 (0.000000-0.110508j), (0.000000+0.043036j), (0.000000+0.100382j), (-0.000000-0.087597j), (-0.000000-0.078236j), (0.000000+0.136769j), (0.000000+0.038936j), (0.000000+0.207055j), (0.000000-0.046775j)
 (0.000000-0.108543j), (0.000000+0.058833j), (0.000000+0.082930j), (-0.000000-0.110977j), (-0.000000-0.030985j), (0.000000+0.149774j), (0.000000-0.051559j), (0.000000+0.173923j), (0.000000-0.228762j)
 (0.000000-0.105943j), (0.000000+0.073249j), (0.000000+0.061115j), (-0.000000-0.124012j), (0.000000+0.020758j), (0.000000+0.131674j), (0.000000-0.127573j), (0.000000+0.077457j), (-0.000000-0.306201j)
 (0.000000-0.102719j), (0.000000+0.085950j), (0.000000+0.036084j), (-0.000000-0.125490j), (0.000000+0.069491j), (0.000000+0.086230j), (0.000000-0.167757j), (0.000000-0.047213j), (-0.000000-0.243698j)
 (0.000000-0.098893j), (0.000000+0.096635j), (0.000000+0.009154j), (-0.000000-0.115270j), (0.000000+0.108148j), (0.000000+0.022879j), (-0.000000-0.160824j), (0.000000-0.154692j), (-0.000000-0.069819j)
 (0.000000-0.094486j), (0.000000+0.105054j), (-0.000000-0.018256j), (-0.000000-0.094307j), (0.000000+0.131125j), (-0.000000-0.045223j), (-0.000000-0.108723j), (0.000000-0.205840j), (0.000000+0.135967j)
 (0.000000-0.089524j), (0.000000+0.111013j), (-0.000000-0.044706j), (-0.000000-0.064553j), (0.000000+0.135089j), (-0.000000-0.103934j), (-0.000000-0.026086j), (-0.000000-0.182034j), (0.000000+0.279616j)
 (0.000000-0.084038j), (0.000000+0.114368j), (-0.000000-0.068804j), (-0.000000-0.028783j), (0.000000+0.119466j), (-0.000000-0.141061j), (0.000000+0.063878j), (-0.000000-0.091941j), (0.000000+0.295472j)
 (0.000000-0.078058j), (0.000000+0.115044j), (-0.000000-0.089283j), (0.000000+0.009669j), (0.000000+0.086521j), (-0.000000-0.148894j), (0.000000+0.135901j), (0.000000+0.031630j), (0.000000+0.176292j)
 (0.000000-0.071621j), (0.000000+0.113022j), (-0.000000-0.105063j), (0.000000+0.047222j), (0.000000+0.041029j), (-0.000000-0.125807j), (0.000000+0.169755j), (0.000000+0.143685j), (0.000000-0.023456j)
 (0.000000-0.064762j), (0.000000+0.108352j), (-0.000000-0.115318j), (0.000000+0.080372j), (0.000000-0.010410j), (-0.000000-0.076593j), (0.000000+0.155931j), (0.000000+0.203416j), (0.000000-0.212486j)
 (0.000000-0.057525j), (0.000000+0.101141j), (-0.000000-0.119505j), (0.000000+0.106031j), (-0.000000-0.060339j), (0.000000-0.011474j), (0.000000+0.098311j), (0.000000+0.189076j), (0.000000-0.304404j)
 (0.000000-0.049949j), (0.000000+0.091560j), (0.000000-0.117405j), (0.000000+0.121808j), (-0.000000-0.101521j), (0.000000+0.056029j), (0.000000+0.013081j), (0.000000+0.105887j), (0.000000-0.257204j)
 (0.000000-0.042080j), (0.000000+0.079833j), (0.000000-0.109129j), (0.000000+0.126230j), (-0.000000-0.127982j), (0.000000+0.111895j), (0.000000-0.075824j), (0.000000-0.015862j), (-0.000000-0.092456j)
 (0.000000-0.033964j), (0.000000+0.066235j), (0.000000-0.095112j), (0.000000+0.118888j), (-0.000000-0.135886j), (0.000000+0.144525j), (0.000000-0.143432j), (0.000000-0.131834j), (0.000000+0.114546j)
 (0.000000-0.025649j), (0.000000+0.051084j), (0.000000-0.076090j), (0.000000+0.100463j), (-0.000000-0.124088j), (0.000000+0.147142j), (0.000000-0.170757j), (0.000000-0.199799j), (0.000000+0.269200j)
 (0.000000-0.017184j), (0.000000+0.034736j), (0.000000-0.053066j), (0.000000+0.072676j), (-0.000000-0.094297j), (0.000000+0.119201j), (0.000000-0.150122j), (0.000000-0.195011j), (0.000000+0.300821j)
 (0.000000-0.008617j), (0.000000+0.017574j), (0.000000-0.027250j), (0.000000+0.038115j), (-0.000000-0.050834j), (0.000000+0.066506j), (0.000000-0.087324j), (0.000000-0.119210j), (0.000000+0.194960j)
